Numero,Ansa
1,"Piilolokerossa myrkkykaasua: syövyttävä hapan pilvi tuhoaa tavaroita ja polttaa hengittäjää 2d6 pistettä."
2,"Piilolokerossa myrkkykaasua: pahanhajuinen pilvi kaataa hengittäjät maahan kaksinkerroin oksentelemaan."
3,"Piilolokerossa myrkkykaasua: hajuton pilvi saa lihakset nykimään ja halvauttaa hengityselimet, 3d6 vauriota."
4,"Tavaroissa kosketusmyrkkyä: tahmainen pinnoite rikkoo pysyvästi tuntohermoja kontaktialueelta."
5,"Tavaroissa kosketusmyrkkyä: vihertävä pintaväri, hyvin tulenarkaa minkään avoimen lämmönlähteen luona."
6,"Tavaroissa kosketusmyrkkyä: huumaava tunne saa käyttäjän sekaisin."
7,"Tavaroissa kosketusmyrkkyä: hikoilua ja sydämentykyttelyä, 2d6 vauriota."
8,"Tavaroissa mekaaninen ansa: nappaa varomattoman kiinni."
9,"Tavaroissa mekaaninen ansa: leikkaa varomattoman sormet irti."
10,"Tavaroissa mekaaninen ansa: viritetty jousi iskee terän varomattoman sisään, 1d6 vauriota."
11,"Tavaroissa mekaaninen ansa: varomaton käsittely hajottaa tavaran sisäisellä jousella."
12,"Tavaroissa mekaaninen ansa: tavarassa on osia, joiden olisi alunperin pitänyt kaatua varkaan päälle."
13,"Tavaroissa kemiallinen ansa: tukahduttava, läpinäkymätön savupilvi."
14,"Tavaroissa kemiallinen ansa: tavara syttyy tuleen."
15,"Tavaroissa kemiallinen ansa: tavara pamahtaa sokaisevana leimauksena."
16,"Tavaroissa kemiallinen ansa: tavara alkaa syöpyä."
17,"Tavaroissa kemiallinen ansa: tavara pilaantuu pian ilmakontaktissa."
18,"Tavaroissa kemiallinen ansa: tavara sylkee happoruiskulla 2d6 vauriota."
19,"Tavaroissa kemiallinen ansa: tavara sylkee emäsruiskulla 2d6 vauriota."
20,"Tavaroissa kemiallinen ansa: tavara sylkee tulta käsittelijän päälle."
21,"Tavaroissa kemiallinen ansa: tavara houkuttelee tuhoeläimiä."
22,"Tavaroissa kemiallinen ansa: eksoottinen sähkönvaraaja, joka iskee d8 sähköpurkauksen varomattomaan."
23,"Tavaroissa kemiallinen ansa: pakkaus ruutia räjäyttää tavaran tuusannuuskaksi d6 vauriolla ympärilleen."
24,"Piiloutunut eläin: myrkkykäärme, 1 HD, 2d6 vauriomyrkky."
25,"Piiloutunut eläin: eksoottinen pikkuhämähäkki, 1 HD, kuumevapinoita aiheuttava lihasmyrkky."
26,"Piiloutunut eläin: raivokas mäyrä, 1 HD, d3 vauriota."
27,"Tavaroissa mekaaninen ansa: varsijousi, d6 vauriota."
28,"Vitsiansa: päälle lentävä mätä kananmuna."
29,"Vitsiansa: sormille näpäyttävä jousi."
30,"Lukittu: vääntää väärällä avaimella yrittävän työkalut ruttuun."
31,"Tavaroissa paljon ruutia: väärä liike tuhoaa koko kärryt ja tekee 4d6 vauriota."
32,"Piiloutunut eläin: hyönteisinfestaatio tuhoaa kamat, jos niitä ei välitä tuhota muutamassa päivässä."
33,"Yllätystauteja: kamoissa on mukana sänkyyn kaatavan kuumetaudin aiheuttajat."
34,"Yllätystauteja: kamoissa on mukana isorokon kaltaisen vakavan taudin aiheuttajat."
35,"Yllätystauteja: tästä paskasta saa lepran. Sen on vähän näköistäkin."
36,"Piiloutunut eläin: silmille hyppää rotta kesken kaiken."
37,"Tavaroissa mekaaninen ansa: kama on piikikästä, varomaton puuhastelu repii ihoa ja lihaa d6 vaurion edestä."
38,"Tavaroissa kemiallinen ansa: kama kuumenee korventavaksi."
39,"Esoteerinen ansa: näkyvät varoituskehät, väärä avaus syöksee tavaran pois todellisuudesta."
40,"Esoteerinen ansa: väärä avaus yhdistää tavaran ja varkaan toisiinsa."
41,"Esoteerinen ansa: anastettu tavara kummittelee hienovaraisesti viejänsä hermoraunioksi, kunnes se on palautettu."
42,"Esoteerinen ansa: näkyvät varoitusmerkit, tavara murisee avattaessa. Säilytysastia puree kuin 2 HD olento."
43,"Esoteerinen ansa: tavara sulaa poimijan sormien välistä ja käyttäytyy kuin kuuma voi, jos avattu väärin."
44,"Esoteerinen ansa: varkaan tietoisuus napsahtaa esineen sisään, kunnes se on tuhottu."
45,"Tavara on feikki ja ammattilainen tietää sen."
46,"Tavara kuuluu tunnetulle henkilölle ja ammattilainen tietää sen."
47,"Tavarassa on Duvan'Kun kuolonmerkki ja sen implikaatiot."
48,"Tavara on kirottu, katso toisaalta jotain jännää."
49,"Tavara on vaurioitunut puoleen arvoonsa."
50,"Tavara on feikki ja ammattilainen tietää sen."
