Numero,Faktio
1,"Van Dörrenin kauppasuku."
2,"Van Ermahgerdin ritarisuku."
3,"Mutanttiveljeskunta."
4,"Famsterdamin kirkko: Temppelin kumoukselliset."
5,"Famsterdamin kirkko: espanjanmieliset kumoukselliset."
6,"Famsterdamin kirkko: antikumoukselliset puritanistit."
7,"Famsterdamin kirkko: benediktiinisisaret."
8,"Famsterdamin kirkko: välinpitämättömät tutkijat."
9,"Van Blardiblarghin porvarit."
10,"Kaarti: kumoukselliset."
11,"Kaarti: status quo."
12,"Kaarti: antikumoukselliset."
13,"Baronetti Herschel, selkäänpuukottaja."
14,"Ritari Buzkel, epätoivoinen ja vararikossa."
15,"Leidi Huberia, mesenaatti."
16,"Italomafia."
17,"Yliopisto: kumoukselliset."
18,"Yliopisto: sekavat."
19,"Yliopisto: antikumous."
20,"Kuvanveistäjät, Illuminati."
