Numero,Kohtaaminen
1,"Yksittäinen vakooja: 1/6 tasokas, 2/6 kantaa kriittistä informaatiota."
2,"Salaliittolaisia: 2d6 jannua, 1/6 mukana d3 tasokasta, housut nilkoissa tekemässä laittomuuksia."
3,"Kapinoivia sotilaita omillaan: 3d6 jannua, 1/6 mukana d6 tasokasta, 1/2 peloissaan paossa, 1/2 arvosaalista mukana d3*1000 hopeaa."
4,"Pakolaisia: 2d6 hengen perhe, 1/2 porvareita, 1/6 mukana d3*1000 arvosaalista."
5,"Palkkasotureita: d100 miestä, etsivät asiakkaita."
6,"Yllätystaistelu: tiimin ympärillä räjähtää 2d6*10 vs. 2d6*10 miehen osastojen kohtaaminen."
7,"Katurosvoja: 2d6 koulukiusaajaa tulee nokittelemaan. 1/6 eivät ole älykääpiöitä ja toinen 2d6 odottaa apuna piilossa."
8,"Maailmanlopun profeetat: d6*10 epätoivoista tulisielua vailla toivoa."
9,"Pakolaisia: d100 ihmisen sekalainen joukko."
10,"Noidanmetsästäjiä: 3 HD ritari ja 2d6 akolyyttiä. 1/3 nurkan takana myös d6*10 sotilaan posse kutsuttavissa apuun."
11,"Lynkkaus: kadulla menossa d100 ihmisen murhenäytelmä. 1/6 tekijä oikeasti oli syyllinen."
12,"Tautisia: d20 kulkutaudin uhria, 1/6 mutafukin kuolema suksilla, 1/6 mukana jotain erityisjännää, 1/6 mukana joku erityisjännä."
13,"Synodin piispat: 1/6 ovat saaneet uuden kuvion aluilleen, 1/6 ovat tosi pahassa kusessa."
14,"Pyhimys: legitiimi ihmeidentekijä auttamassa ihmisiä."
15,"Wannabe-pyhimys: kaveri kuvittelee olevansa ihmeidentekijä, kuten ympärillä olevatkin."
16,"Huijaripyhimys: tämä on ihan vaan rahoja hakeva munapää."
17,"Ryöstö meneillään: paikalla on d20 tyyppiä, 1/6 talo on sikarikas, 2/6 arvokas ja 3/6 köyhähkö."
18,"Tiesulku: 2d20 sotilasta vetää tullirahoja tai tulee kiertoreitti."
19,"Tiesulku: 3d20 huolestunutta kansalaista on linnoittanut korttelinsa ja valmistautunut pitämään sen."
20,"Ranskalainen mestahrivahraz Persene Lupin: kaaoksessa rosmoilemaan tullut herrasvaras. 4 HD ninja, jokseenkin väkivallaton."
21,"Maailmanlopun reivit: 2d100 tanssijaa bailaamassa."
22,"Eksoottisten kuriositeettien kauppias: jos jonkinmoista tarjolla, 1/6 saumalla härön hyvää ja 1/6 suunnilleen myrkytettyä paskaa."
23,"Karanneet hevoskärryt koettavat ajaa päältä: 1/6 sotilaita, 1/6 aatelisia, 1/2 kauppiaita tai tyhjät."
24,"Tulipalo!"
25,"Yllätyskärhämä: d20 vs. d20 miestä rysähtää ympäriltä kamppailuun."
26,"Kuvanveistäjiä: d6 Illuminatin agenttia. 1/6 ovat kusessa, 1/6 tuovat viestiä."
27,"Hirviö: 5 HD kaaoshirviö on karannut vapaalle ja riehuu kaduilla."
28,"Havaintoja: paikalla on käyty aivan äsken taistelu."
29,"Havaintoja: paikalla on outoja taikuuden jälkiä."
30,"Hirviö: 3 HD asbestigargoili tiedustelumatkallaan."
31,"Yllätyskärhämä: d20 vs. d20 miestä rysähtää ympäriltä kamppailuun."
32,"Eläimiä: pakoon päässeitä sikoja, lampaita, lehmiä juoksee d100 paniikissa kaduilla häiriköiden toimintaa tai tarjoten ruokaa."
33,"Alkemiaa: d20 sotilasta, jotka kantavat esoteerisia aseita ja kaasusuojia. Pistävää, syövyttävää kaasua lasiastioissa."
34,"Opportunistinen maagi: d10 tason velho, puuhailemassa omiaan. 1/2 mukana d10 palvelijaa."
35,"Syöpäläisiä: d100 rottaa, joista 1/3 isoja, 1/6 mukana mutafukin pahoja tauteja."
36,"Syöpäläisiä: d100 rottaa, joista 1/3 isoja, 1/6 mukana mutafukin pahoja tauteja."
37,"Syöpäläisiä: d100 rottaa, joista 1/3 isoja, 1/6 mukana mutafukin pahoja tauteja."
38,"Hurttalauma: d20 vihaista ja nälkäistä koiraa. 1/6 johdossa helvetinhurtta 4 HD."
39,"Aave: surun murtama psioninen aalto itkee menetettyjä omaisiaan."
40,"Aave: vihainen henki etsii hyvitystä. 4 HD häive."
41,"Aave: itkevä lapsi tahtoo löytää vanhempansa."
42,"Aave: kylmien varjojen häilyvä tanssi vie mukanaan jos jää tuijottamaan."
43,"Dance Macabre: pitkin katuja lojuvat kuolleet laulavat ja irvivät eläviä."
44,"Pappi seurueineen: d20 uskollista, 1/6 pappi on ihmeidentekijä."
45,"Aatelinen seurueineen: d20 uskollista, 1/6 kaveri osaa jotain."
