Numero,Saalis
1,"Jalopuinen piironkipöytä, 500 hopeaa."
2,"Iso peili, 300 hopeaa."
3,"Pussillinen irtorahaa, d100 hopeaa."
4,"Korulaatikko, d20 esinettä d6*10 hopean arvoisina."
5,"Sinettisormus, pari hopeaa tai 100 tietäville."
6,"Jalokivirasia, d10 esinettä d6*100 arvoisina."
7,"Norsunluinen ihmispatsas, 200 hopeaa."
8,"Maustelaatikko, jokunen kilo, 500 hopeaa."
9,"Rannekoruja, d20 esinettä 100 hopean hintaan."
10,"Laatikollinen tulppaaninsipuleita, arvoton paitsi d6*1000 tietäville. Hyvän makuisia."
11,"Laatikollinen kultaharkkoja, d20 esinettä 100 hopean hintaan."
12,"Palikka jadea, kymmeniä kiloja, myytävissä muutamilla satasilla."
13,"Säkillinen irtorahaa, 1000 hopeaa."
14,"Tynnyri valaanambraa, kymmeniä kiloja, d3*1000 hopeaa."
15,"Taskurahoja, d20 hopeaa."
16,"Nivaska ryövättyjä arvopapereita, omistuskirjoja, velkapapereita..."
17,"Nippu pieniä tauluja, d6 esinettä 100 hopean arvolla."
18,"Jalokivisormus, 400 hopeaa."
19,"Laatikollinen hopeaharkkoja, d20 esinettä 50 hintaan."
20,"Arkullinen rahaa, 1000 hopeaa."
21,"Pakka arvokkaita kankaita, d6 rullaa d10*100 hopean edestä."
22,"Pehmustettuja parfyymipakkauksia, d20 purnukkaa 50 hopean hintoihin."
23,"Tyhjä arpa, astiat täynnä rähjäisiä vaatteita."
24,"Hienoja vaatteita, d20 asua 50 hopean hintoihin."
25,"Peruukkeja, d20 puuterihuiskua 10 hopean hintoihin."
26,"Taskurahoja, d100 hopeaa."
27,"Rasiallinen helmiä, d100 pallukkaa 5 hopean hintoihin."
28,"Iso taulu, 500 hopeaa."
29,"Rihkamakoruja, d100 esinettä 5 hopean hintoihin."
30,"Tärkeän tyypin kipsipatsas, monta kiloa, 200 hopeaa."
31,"Arvokas posliinivaasi, pieni, 100 hopeaa."
32,"Arvokas posliinivaasi, iso, monta kiloa, 500 hopeaa."
33,"Alkemistin lasisia välineitä arkkuihin pakattuina, 1000 hopeaa."
34,"Huumeita kuivapakattuina, 100 annosta, kukin 20 hopeaa."
35,"Huumeita nesteinä, 50 annosta, kukin 20 hopeaa."
36,"Viinaa pulloissa, 100 annosta."
37,"Purppuralootusta, d20 annosta."
38,"Irtorahoja, d100 hopeaa."
39,"Koristeaseita ja haarniskoja, d20 esinettä 50 hintoihin."
40,"Keskikokoisia tauluja, d6 esinettä 50 hopean hintoihin."
41,"Ryövättyä ruokaa, d100 päiväannosta herkkuja."
42,"Tynnyri viiniä, kehnoa, 20 hopeaa."
43,"Tynnyri viiniä, hyvää, 100 hopeaa."
44,"Kärryllinen viiniä, kehnoa, 500 hopeaa."
45,"Kärryllinen viiniä, hyvää, 2000 hopeaa."
46,"Hieno sohva, 100 hopeaa."
47,"Korulajitelma, d10 esinettä 100 hopean hintoihin."
48,"Kattokruunu kristalleineen, 1000 hopeaa kasassa tai 300 paloina."
49,"Kirjallisuutta, tavallista, d100 teosta 5 hopean hintoihin."
50,"Kirjallisuutta, harvinaista, d100 teosta 20 hopean hintoihin."
51,"Kirjallisuutta, esoteerista, d100 teosta 50 hopean hintoihin."
52,"Kirjallisuutta, maagista, d100 teosta joista 1/10 on oikeita. Muuten 20 hopean hinnat."
53,"Pöllitty pelipöytä kortteineen, noppineen ja merkkeineen, 300 hopean paketti."
54,"Alkemistin varastokamaa, esoteerisia komponentteja 500 hopean edestä."
55,"Aseita, d100 kappaletta. Jos ampuma-aseita, mukana 500 ammusta."
56,"Tynnyri ruutia, monta kiloa."
57,"Kynsipiano, 300 hopeaa."
58,"Suuri harppu, 100 hopeaa."
59,"Kusetusarkku, täynnä kiviä."
60,"Häkillinen harvinaisia lintuja, d10 eläintä d20*10 hopean hintoihin."
61,"Arvokkaita mattoja, d6 esinettä d6*100 hopean hintoihin."
62,"Nippu karttoja."
63,"Kirkkohopeaa, d20 esinettä 50 hopean hintoihin."
64,"Pöytähopeoita, d100 esinettä 20 hopean hintoihin."
65,"Kynttilänjalkoja, d20 esinettä 10 hopean hintoihin."
66,"Kosmetiikkaa, d20 purnukkaa 50 hintoihin."
