Numero,Tapahtuma
1,"Hetkellinen liittouma tai aselepo kahden faktion välillä."
2,"Faktio 1 lähettää kostoretkikunnan faktiota 2 vastaan."
3,"Iso ruokalähetys sataman laidalla, monet tahtovat osingoille."
4,"Kulkutauteja jossakin kaupunginosassa."
5,"Acererak aktivoituu."
6,"Acererakin saarella tapahtuu kummia."
7,"Valtataistelua kirkossa."
8,"Valtataistelua jossakin faktiossa."
9,"Kaupungin ulkopuolella kulkutauteja."
10,"Jokin kaupunginosa lyödään karanteeniin."
11,"Valtava varastopalo / -räjähdys jollekin faktiolle tärkeässä paikassa."
12,"Faktio 1 kidnappaa tärkeän henkilön faktiolta 2."
13,"Faktio 1 kidnappaa turhan henkilön faktiolta 2."
14,"Joku varastaa yliopistolta massatuhovälineitä."
15,"Joku varastaa yliopistolta kuviteltuja, mutta tuhnuja, massatuhovälineitä."
16,"Faktio 1 paljastaa noloja salaisuuksia faktiosta 2."
17,"Uskonnolliset juhlamenot seisauttavat monet faktiot viikoksi. Ish."
18,"Laivasaarto pahenee ja kauppa kärsii."
19,"Oranssin prinssi julistaa kuninkuutensa rauhoittaakseen tilanteen."
20,"Memeettinen kannibalismiaalto osuu faktion johtoon."
21,"Memeettinen kannibalismiaalti osuu faktion joukkoihin."
22,"Joop van Oomsin projekti pasifoi jonkin kaupunginosan."
23,"Faktio 1 mobilisoi suurhyökkäyksen faktion 2 kimppuun."
24,"Kamala sää rauhoittaa suurempia toimia viikoksi."
25,"Esoteerinen katastrofi sekoittaa faktion toimintaa. Rajoittuu sisäiseksi."
26,"Esoteerinen katastrofi sekoittaa faktion toimintaa. Ulottuu muihinkin."
27,"Faktio 1 kärsii toisen faktion palkkalistoille kääntyneistä sotilaista."
28,"Väärä vapahtaja nousee kaupungissa, protestanttinen."
29,"Väärä vapahtaja nousee kaupungissa, katolinen."
30,"Väärä vapahtaja nousee kaupungissa, Kuolleiden syöjän."
31,"Väärä vapahtaja nousee kaupungissa, Dolwinin."
32,"Kaupunginosassa kärsitään nälänhädästä."
33,"Faktio 1 salamurhauttaa tärkeän jäsenen faktiosta 2."
34,"Faktio 1 salamurhauttaa semiturhan jäsenen faktiosta 2."
35,"Joop van Oomsin projekti aiheuttaa painajaisia ja varjohirviöitä."
36,"Inkvisitio sekoilee kaduilla."
37,"Faktion 1 sotilaat suorittavat valeasuissa operaatioita faktion 2 väreissä."
38,"Omillaan spurdoilevat sotilaat aiheuttavat yleistä närää tuhoamalla paikkoja."
39,"Viemärimutantit nousevat isommissa määrin maan päälle kaaoksen suojin."
40,"Synodin piispat alkavat saada projektiaan eteenpäin."
41,"Kaupungin ulkopuolinen joukko saksalaisia ritareita julistaa palveluksiaan sille, joka tavoittelee hyveellisintä lopputulosta."
42,"Ylhäisö yrittää jälleen palata neuvottelupöytiin."
43,"Satunnainen salamurha tärkeissä piireissä."
44,"Satunnaisessa kaupunginosassa tapahtuu maan vajoama ja sinne avautuu Cooli Luolasto (tm)."
45,"Temppelille lojaalit tahot alkavat käyttää kuolleita sotilainaan."
46,"Yleinen mieliala siirtyy protestanttisempaan suuntaan."
47,"Yleinen mieliala siirtyy katolisempaan suuntaan."
48,"Yleinen sotatila rauhoittuu asemiinsa."
49,"Yleinen sotatila kiihtyy järjestyksellisesti."
50,"Yleinen sotatila kiihtyy kaoottisesti."
51,"Yleinen sotatila rauhoittuu paniikin ja traumojen levitessä epäluonnollisesti."
52,"Kuolleiden syöjä marssii joukkoineen kaupungin laitamille."
53,"Dolwinin sormet hipsivät kaduille."
54,"Joukko munkkeja ja pappeja on luvannut itsensä Dullahanille, Powerwolf ahoy."
55,"Yliopistolaisia katoaa mystisissä olosuhteissa."
56,"Yliopisto ruokkii sotakonetta kaatamalla *vahingossa* kokeellista aseteknologiaa markkinoille."
57,"Yliopisto suitsii sotakonetta synkillä esoteerisilla keinoilla."
58,"Faktio 1 tekee diilin Maxwellin kanssa."
59,"Faktiot 1 ja 2 polttavat keskinäiset siltansa."
60,"Hetkellinen aselepo tai liittouma kahden faktion välillä."
61,"Faktio 1 päihittää faktion 2 rajajoukkoja ja laajentaa länttiään."
62,"Ruttotohtori palaa kaupunkiin."
63,"Palkkasoturivuo kaupunkiin kiihtyy."
64,"Palkkasoturivuo kaupunkiin heikkenee."
65,"Mieliala kääntyy yleisesti paranoidimmaksi."
66,"Mieliala kääntyy yleisesti humaanimmaksi."
67,"Naapuriprovinssit saavat tarpeekseen ja sana saapuvista armeijoista kiirii kaupunkiin."
68,"Faktio 1 ottaa osumaa noitavoimista faktion 2 palkkalistoilta."
69,"Naimakauppa kahden faktion välillä rauhoittaa näiden välejä."
70,"Therex saapuu mereltä."
71,"Suuri lasti tawilia saapuu mereltä."
72,"Erinäiset merkit sopivat profetioihin, täyttä höpöhöpöä mutta sekös ketään kiinnostaisi."
73,"Paavin lähetystö saapuu heristämään sormea rettelöitsijöille."
74,"Mestahrivahraz Persene Lupin ryöstää faktiolta jotain tosi lesoa."
75,"Faktion 1 salaholveista karkaa / katoaa häröä shittiä, faktio 2 on syytteessä."
76,"Satamassa on syväläisaktiviteettia."
77,"Laivasaarto rakoilee."
78,"Naapuriprovinssit hyökkäävät laivoin. Satamassa ankaraa rähinää."
79,"Vanha piispa, Fredrik Ylväs (Tiberius Maximus), nousee jälleen varjoista nimellä Konstantin."
80,"Himmee handu iskee faktiota vastaan vanhojen sopimusten rauetessa."
81,"Faktion johto muuttuu sotahullummaksi."
82,"Faktion johto lauhtuu hieman myötämielisemmäksi rauhalle."
83,"Faktion sotavoimat ja vaikutusvalta kasvavat huomattavasti."
84,"Faktion talous uhkaa romahtaa."
85,"Faktio saa ulkopuolista rahoitusta ja kalustoa. Keneltä?"
86,"Osa laivoista päättää lähteä omille teilleen."
87,"Munkki Eustace saapuu brittien kuninkaan väreissä ja valloittaa Fernzeherin alueen."
88,"Pyhä Saksalaisfroomalainen keisarikunta näkee tilaisuutensa ja iskee naapuriprovinsseihin Espanjan siunauksella."
89,"Faktio 1 menettää alueita faktiolle 2."
90,"Kaupunginosa upahtaa tulvan alle."
91,"Satunnainen kaupunginosa siirtyy de facto salakuljettajien vallan alle edellisten omistajien harmiksi."
92,"Fleeminmaan Itsenäisyysrintama kokee tilaisuutensa tulleen ja mobilisoituu terrori-iskuihin."
93,"12 HD pallomainen tulivampyyri Fernzeheriltä lilluu hitaasti kohti satamaa."
94,"Faktion hallinnossa paljastuu teeskentelijöitä, puhdistus tapahtuu."
95,"Monarkistisia haikailuja Espanjan alle kuuluu kaduilla."
96,"Protoprotestanttinen liike saa vakavaa kannatusta kansan riveissä."
97,"Ranskalaiset liikehtivät. Heikko ja nuori Follanti on helppo kohde."
98,"Satunnaisessa kaupunginosassa paukkuu, omatoiminen alkemisti pistelee menemään."
99,"Suurpalo riehuu satunnaisessa kaupunginosassa."
100,"Merkittävä syntymä faktiossa 1 ajaa vanhat vihulaiset liikkeelle."
